Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 135
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1468,IPv4,2026-05-13T07:14:04Z,TCP
0,2,1,"{
 ""IP"": ""10.138.226.194"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-05-13T07:15:11Z,TCP
0,2,1,"{
 ""IP"": ""192.168.56.1"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-05-13T07:13:57Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 623
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5144,IPv4,2026-05-13T07:14:09Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 1466
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",ESTAB,10648,IPv4,2026-05-13T08:11:43Z,TCP
0,2,1,"{
 ""IP"": ""10.138.226.194"",
 ""Port"": 2518
}","{
 ""IP"": ""204.79.197.222"",
 ""Port"": 443
}",ESTAB,10744,IPv4,2026-05-13T08:20:58Z,TCP
0,2,1,"{
 ""IP"": ""10.138.226.194"",
 ""Port"": 4182
}","{
 ""IP"": ""20.167.82.254"",
 ""Port"": 443
}",ESTAB,12908,IPv4,2026-05-13T07:17:16Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5040
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,8684,IPv4,2026-05-13T07:14:35Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 21560
}",ESTAB,10472,IPv4,2026-05-13T07:55:38Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 21562
}",ESTAB,10472,IPv4,2026-05-13T07:55:38Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 56141
}",ESTAB,10472,IPv4,2026-05-13T07:55:37Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 56143
}",ESTAB,10472,IPv4,2026-05-13T07:55:37Z,TCP
