Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 135
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1452,IPv4,2026-05-26T14:09:07Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-05-27T02:54:24Z,TCP
0,2,1,"{
 ""IP"": ""192.168.56.1"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-05-27T02:53:52Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 623
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4700,IPv4,2026-05-27T02:53:51Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 2292
}","{
 ""IP"": ""172.188.155.25"",
 ""Port"": 443
}",ESTAB,2968,IPv4,2026-05-27T02:55:51Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 2521
}","{
 ""IP"": ""13.127.99.68"",
 ""Port"": 443
}",ESTAB,2968,IPv4,2026-05-27T02:59:07Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 3272
}","{
 ""IP"": ""34.120.250.63"",
 ""Port"": 443
}",ESTAB,10752,IPv4,2026-05-27T03:04:44Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5040
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,8504,IPv4,2026-05-27T02:53:49Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 29220
}",ESTAB,4348,IPv4,2026-05-27T03:04:17Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 29222
}",ESTAB,4348,IPv4,2026-05-27T03:04:17Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 29224
}",ESTAB,4348,IPv4,2026-05-27T03:04:17Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 29226
}",ESTAB,4348,IPv4,2026-05-27T03:04:17Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4348,IPv4,2026-05-27T03:04:16Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 47467
}",ESTAB,4348,IPv4,2026-05-27T03:04:22Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 47469
}",ESTAB,4348,IPv4,2026-05-27T03:04:22Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 52523
}",ESTAB,4348,IPv4,2026-05-27T03:04:16Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4348,IPv4,2026-05-27T03:04:16Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8003
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4348,IPv4,2026-05-27T03:04:16Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 8052
}","{
 ""IP"": ""48.218.107.61"",
 ""Port"": 443
}",ESTAB,14816,IPv4,2026-05-27T02:55:21Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8123
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4820,IPv4,2026-05-26T14:09:10Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 8834
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5652,IPv4,2026-05-26T14:10:42Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 29218
}",ESTAB,4348,IPv4,2026-05-27T03:04:17Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4348,IPv4,2026-05-27T03:04:16Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 12619
}","{
 ""IP"": ""10.60.7.133"",
 ""Port"": 53
}",SYN_SENT,2968,IPv4,2026-05-27T03:06:09Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 16992
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4700,IPv4,2026-05-27T02:53:51Z,TCP
0,2,1,"{
 ""IP"": ""10.60.7.194"",
 ""Port"": 22169
}","{
 ""IP"": ""34.36.73.246"",
 ""Port"": 443
}",CLOSE_WAIT,10752,IPv4,2026-05-27T03:05:04Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 29218
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",ESTAB,2968,IPv4,2026-05-27T03:04:17Z,TCP
